"Long","Lat","S_No_","USIN","State","District","Block_Mand","Village","CCE_Date","Target_Cro","QC_Status","Wet_Weight","Dry_Weight","Yield_kg_h","allahabad_10_oct_sm_30","allahabad_14_aug_sm_30","Allahabad_max_GS_30","Allahabad_max_VS_30","Allahabad_min_GS_30","Allahabad_min_VS_30","Allahabad_rf_GS_30","Allahabad_rf_VS_30","CCCI_Allahabad_30","CWSI_Allahabad_30","EVI_allahabad_20200930_30m","NDVI_allahabad_20200930_30m"
82.070155,25.055903,358,57281,"UTTAR PRADESH","Allahabad","Koraon","bahiyari kala","2020/11/22","Paddy - IR","Accepted",19.04,17.136,3427.2,0.336512744426727,0.332084536552429,33.1432151794434,33.9918060302734,19.4472026824951,25.7759494781494,0.237841352820396,392.187164306641,0.495780736207962,0.358701318502426,0.670534014701843,0.65976494550705
82.080185,25.057616,359,57280,"UTTAR PRADESH","Allahabad","Koraon","Pasana","2020/11/22","Paddy - IR","Accepted",16.15,14.535,2907,0.331922858953476,0.336749196052551,33.1279144287109,33.9960708618164,19.447114944458,25.7765693664551,0.213477417826653,395.491333007812,0.493380606174469,0.3880555331707,0.63951450586319,0.640186905860901
82.082447,25.057837,360,57279,"UTTAR PRADESH","Allahabad","Koraon","Sirokhar","2020/11/22","Paddy - IR","Accepted",17.54,15.786,3157.2,0.323474824428558,0.341720312833786,33.1279144287109,33.9960708618164,19.447114944458,25.7765693664551,0.213477417826653,395.491333007812,0.558457732200623,0.420791685581207,0.732699751853943,0.672937035560608
82.089403,25.060047,361,57278,"UTTAR PRADESH","Allahabad","Koraon","Pasana","2020/11/22","Paddy - IR","Accepted",19.02,17.118,3423.6,0.351835161447525,0.326228320598602,33.1267776489258,34.0009689331055,19.4466133117676,25.7783470153809,0.191931083798409,385.761840820312,0.51498955488205,0.511001288890839,0.716902554035187,0.67884361743927
82.097032,25.061128,362,57277,"UTTAR PRADESH","Allahabad","Koraon","Pasana","2020/11/22","Paddy - IR","Accepted",15.52,13.968,2793.6,0.354006201028824,0.300940036773682,33.1113929748535,34.0054206848145,19.4465293884277,25.7790126800537,0.169977337121964,388.688842773438,0.495528399944305,0.620523035526276,0.691445291042328,0.654469430446625
82.00803,25.106778,368,57229,"UTTAR PRADESH","Allahabad","Meja","Kharka Dabar","2020/11/21","Paddy - IR","Accepted",19.96,17.964,3592.8,0.325171053409576,0.347318470478058,33.248119354248,33.9790649414062,19.4452114105225,25.7787113189697,0.204250261187553,335.496765136719,0.496100932359695,0.490601003170013,0.681520700454712,0.638156116008759
82.00441,25.11275,369,57228,"UTTAR PRADESH","Allahabad","Meja","Kharka Dabar","2020/11/21","Paddy - IR","Accepted",15.91,14.319,2863.8,0.332457214593887,0.34209543466568,33.2476806640625,33.9824905395508,19.4446907043457,25.7801322937012,0.163422539830208,328.784484863281,0.499052107334137,0.369066715240479,0.719637215137482,0.646671712398529
81.998578,25.117228,370,57227,"UTTAR PRADESH","Allahabad","Meja","Kharka Dabar","2020/11/21","Paddy - IR","Accepted",13.1,11.79,2358,0.351205855607986,0.341694205999374,33.263500213623,33.9771194458008,19.4447631835938,25.7792453765869,0.173325419425964,327.743225097656,0.500933527946472,0.31271168589592,0.69144731760025,0.641509413719177
82.093955,25.215708,371,57226,"UTTAR PRADESH","Allahabad","Meja","Lakhanpur","2020/11/21","Paddy - IR","Accepted",22.04,19.836,3967.2,0.323853492736816,0.331959635019302,33.0930709838867,34.0816688537598,19.4390525817871,25.806324005127,0.0410323478281498,300.679443359375,0.517902016639709,0.628241240978241,0.606742203235626,0.61359053850174
82.089093,25.205028,372,57225,"UTTAR PRADESH","Allahabad","Meja","Diliya","2020/11/21","Paddy - IR","Accepted",15.47,13.923,2784.6,0.122369207441807,0.255367159843445,33.110897064209,34.0695571899414,19.4396018981934,25.8032169342041,0.048600222915411,304.229705810547,0.58870404958725,0.619968235492706,0.541301250457764,0.586893677711487
82.09769,25.189877,373,57224,"UTTAR PRADESH","Allahabad","Meja","Lutar","2020/11/21","Paddy - IR","Accepted",8.14,7.326,1465.2,0.0936318337917328,0.337766617536545,33.0967330932617,34.0664176940918,19.4405479431152,25.8008613586426,0.0457417145371437,309.802642822266,0.496064990758896,0.513153910636902,0.490741789340973,0.525547444820404
82.108192,25.200353,374,57222,"UTTAR PRADESH","Allahabad","Meja","Lotad","2020/11/21","Paddy - IR","Accepted",16.7,15.03,3006,0.318382561206818,0.343266248703003,33.0776901245117,34.0836143493652,19.4394989013672,25.8057899475098,0.0366040505468845,303.211273193359,0.524670779705048,0.512940645217896,0.482882797718048,0.493545740842819
81.976642,25.274533,375,57221,"UTTAR PRADESH","Allahabad","Karchhana","Gandhiyawa","2020/11/21","Paddy - IR","Accepted",14.96,13.464,2692.8,0.341749936342239,0.343169093132019,33.2872581481934,34.015811920166,19.43625831604,25.7976264953613,0.0878970995545387,300.86328125,0.499151736497879,0.723947644233704,0.599697113037109,0.591496706008911
82.07738,25.146897,424,57133,"UTTAR PRADESH","Allahabad","Meja","Pura Lachchan","2020/11/21","Paddy - IR","Accepted",21.8,19.62,3924,0.300693988800049,0.288975834846497,33.1337852478027,34.034236907959,19.4426727294922,25.7915382385254,0.0662589743733406,321.225372314453,0.474802881479263,0.571874439716339,0.745527923107147,0.670886099338531
82.081683,25.148533,426,57130,"UTTAR PRADESH","Allahabad","Meja","Pura Lachchan","2020/11/21","Paddy - IR","Accepted",17,15.3,3060,0.323802709579468,0.284099161624908,33.1177024841309,34.0401611328125,19.44260597229,25.7925586700439,0.0591399222612381,321.596130371094,0.503709614276886,0.540176630020142,0.515941858291626,0.556272149085999
82.082633,25.167597,427,57128,"UTTAR PRADESH","Allahabad","Meja","Tigja","2020/11/21","Paddy - IR","Accepted",15.88,14.292,2858.4,0.339808464050293,0.341668337583542,33.1154327392578,34.0499610900879,19.4416046142578,25.7961120605469,0.0556266866624355,315.807312011719,0.516391515731812,0.618577182292938,0.568090260028839,0.566915571689606
